framework,date,downloads
react,2016-01-12,251875
react,2016-01-19,257302
react,2016-01-26,262426
react,2016-02-02,273593
react,2016-02-09,269527
react,2016-02-16,248799
react,2016-02-23,286783
react,2016-03-01,275826
react,2016-03-08,300343
react,2016-03-15,317964
react,2016-03-22,304154
react,2016-03-29,267544
react,2016-04-05,333549
react,2016-04-12,442633
react,2016-04-19,388715
react,2016-04-26,374635
react,2016-05-03,343682
react,2016-05-10,345526
react,2016-05-17,369163
react,2016-05-24,431785
react,2016-05-31,393773
react,2016-06-07,391365
react,2016-06-14,369241
react,2016-06-21,375490
react,2016-06-28,391871
react,2016-07-05,417749
react,2016-07-12,430054
react,2016-07-19,416631
react,2016-07-26,418634
react,2016-08-02,423418
react,2016-08-09,441250
react,2016-08-16,436367
react,2016-08-23,496854
react,2016-08-30,491564
react,2016-09-06,433241
react,2016-09-13,458491
react,2016-09-20,491403
react,2016-09-27,556845
react,2016-10-04,528555
react,2016-10-11,514015
react,2016-10-18,552084
react,2016-10-25,547132
react,2016-11-01,538806
react,2016-11-08,548579
react,2016-11-15,538452
react,2016-11-22,661155
react,2016-11-29,574274
react,2016-12-06,636610
react,2016-12-13,639849
react,2016-12-20,628053
react,2016-12-27,479040
react,2017-01-03,321282
react,2017-01-10,616398
react,2017-01-17,710896
react,2017-01-24,704843
react,2017-01-31,704215
react,2017-02-07,710064
react,2017-02-14,734743
react,2017-02-21,725652
react,2017-02-28,791673
react,2017-03-07,752074
react,2017-03-14,785891
react,2017-03-21,777393
react,2017-03-28,852551
react,2017-04-04,825884
react,2017-04-11,952760
react,2017-04-18,947918
react,2017-04-25,1003363
react,2017-05-02,948549
react,2017-05-09,966374
react,2017-05-16,1011943
react,2017-05-23,1033833
react,2017-05-30,943522
react,2017-06-06,1069074
react,2017-06-13,1026246
react,2017-06-20,1190196
react,2017-06-27,1211084
react,2017-07-04,1078120
react,2017-07-11,1041878
react,2017-07-18,1098355
react,2017-07-25,1187302
react,2017-08-01,1181361
react,2017-08-08,1116554
react,2017-08-15,1172572
react,2017-08-22,1183575
react,2017-08-29,1149952
react,2017-09-05,1113067
react,2017-09-12,1280281
react,2017-09-19,1316325
react,2017-09-26,1276120
react,2017-10-03,1586322
react,2017-10-10,1496483
react,2017-10-17,1569668
react,2017-10-24,1646954
react,2017-10-31,1698921
react,2017-11-07,1702881
react,2017-11-14,1815033
react,2017-11-21,1730226
react,2017-11-28,1423341
react,2017-12-05,1759112
react,2017-12-12,1686804
react,2017-12-19,1686603
react,2017-12-26,1296751
react,2018-01-02,809858
react,2018-01-09,1434044
react,2018-01-16,1714678
react,2018-01-23,1761499
react,2018-01-30,1815217
react,2018-02-06,1904547
react,2018-02-13,1940784
react,2018-02-20,1928702
react,2018-02-27,2030215
react,2018-03-06,2154370
react,2018-03-13,2154135
react,2018-03-20,2298843
react,2018-03-27,2254215
react,2018-04-03,2073997
react,2018-04-10,2350876
react,2018-04-17,2387501
react,2018-04-24,2439115
react,2018-05-01,2225575
react,2018-05-08,2235827
react,2018-05-15,2352165
react,2018-05-22,2439086
react,2018-05-29,2070357
react,2018-06-05,2304820
react,2018-06-12,2580139
react,2018-06-19,2691243
react,2018-06-26,2720292
react,2018-07-03,2650781
react,2018-07-10,2354732
react,2018-07-17,2706800
react,2018-07-24,2663363
react,2018-07-31,2724535
react,2018-08-07,2858287
react,2018-08-14,2800687
react,2018-08-21,2678498
react,2018-08-28,2723043
react,2018-09-04,2653207
react,2018-09-11,2903406
react,2018-09-18,3184470
react,2018-09-25,3237946
react,2018-10-02,3443252
react,2018-10-09,3537260
react,2018-10-16,3611084
react,2018-10-23,3566549
react,2018-10-30,3915987
react,2018-11-06,3488237
react,2018-11-13,3711094
react,2018-11-20,3722631
react,2018-11-27,3301321
react,2018-12-04,3944694
react,2018-12-11,3953820
react,2018-12-18,3657692
react,2018-12-25,3241210
react,2019-01-01,1718020
react,2019-01-08,2792580
react,2019-01-15,4561431
react,2019-01-22,4955466
react,2019-01-29,5098324
react,2019-02-05,5227904
react,2019-02-12,5494955
react,2019-02-19,5584668
react,2019-02-26,5802076
react,2019-03-05,6095037
react,2019-03-12,6383301
react,2019-03-19,5713958
react,2019-03-26,6033229
react,2019-04-02,5633813
react,2019-04-09,5357790
react,2019-04-16,5048335
react,2019-04-23,4313415
react,2019-04-30,4890125
react,2019-05-07,4808899
react,2019-05-14,5532932
react,2019-05-21,5492793
react,2019-05-28,4924209
react,2019-06-04,4778518
react,2019-06-11,4848694
react,2019-06-18,5086884
react,2019-06-25,5025341
react,2019-07-02,4981948
react,2019-07-09,4658625
react,2019-07-16,5249088
react,2019-07-23,5058949
react,2019-07-30,5033834
react,2019-08-06,5047653
react,2019-08-13,5378402
react,2019-08-20,5292453
react,2019-08-27,5526076
react,2019-09-03,5467140
react,2019-09-10,5689849
react,2019-09-17,5589759
react,2019-09-24,5616343
react,2019-10-01,5872504
react,2019-10-08,6005499
react,2019-10-15,5888044
react,2019-10-22,5985442
react,2019-10-29,6261160
react,2019-11-05,6019893
react,2019-11-12,6566271
react,2019-11-19,6487583
react,2019-11-26,6608399
react,2019-12-03,5622693
react,2019-12-10,6365682
react,2019-12-17,6328070
react,2019-12-24,5776818
react,2019-12-31,2825450
react,2020-01-07,3615179
vue,2016-01-12,9880
vue,2016-01-19,14011
vue,2016-01-26,13079
vue,2016-02-02,10444
vue,2016-02-09,7607
vue,2016-02-16,6154
vue,2016-02-23,6287
vue,2016-03-01,8341
vue,2016-03-08,8203
vue,2016-03-15,9060
vue,2016-03-22,12320
vue,2016-03-29,29691
vue,2016-04-05,15437
vue,2016-04-12,25745
vue,2016-04-19,36818
vue,2016-04-26,16414
vue,2016-05-03,12314
vue,2016-05-10,16490
vue,2016-05-17,40971
vue,2016-05-24,29432
vue,2016-05-31,28204
vue,2016-06-07,21964
vue,2016-06-14,27899
vue,2016-06-21,36800
vue,2016-06-28,24847
vue,2016-07-05,48806
vue,2016-07-12,35807
vue,2016-07-19,26991
vue,2016-07-26,29286
vue,2016-08-02,35394
vue,2016-08-09,27756
vue,2016-08-16,32928
vue,2016-08-23,30179
vue,2016-08-30,33934
vue,2016-09-06,22957
vue,2016-09-13,24463
vue,2016-09-20,26615
vue,2016-09-27,35679
vue,2016-10-04,50443
vue,2016-10-11,42046
vue,2016-10-18,46004
vue,2016-10-25,44265
vue,2016-11-01,42546
vue,2016-11-08,47525
vue,2016-11-15,47135
vue,2016-11-22,58702
vue,2016-11-29,55997
vue,2016-12-06,56461
vue,2016-12-13,51721
vue,2016-12-20,62299
vue,2016-12-27,52358
vue,2017-01-03,46974
vue,2017-01-10,56097
vue,2017-01-17,62035
vue,2017-01-24,81373
vue,2017-01-31,63716
vue,2017-02-07,68888
vue,2017-02-14,82641
vue,2017-02-21,75995
vue,2017-02-28,110952
vue,2017-03-07,103877
vue,2017-03-14,123684
vue,2017-03-21,105757
vue,2017-03-28,125501
vue,2017-04-04,110089
vue,2017-04-11,98802
vue,2017-04-18,108945
vue,2017-04-25,111009
vue,2017-05-02,109439
vue,2017-05-09,140544
vue,2017-05-16,142146
vue,2017-05-23,125112
vue,2017-05-30,109859
vue,2017-06-06,120688
vue,2017-06-13,144463
vue,2017-06-20,134536
vue,2017-06-27,135724
vue,2017-07-04,123081
vue,2017-07-11,135595
vue,2017-07-18,157617
vue,2017-07-25,173827
vue,2017-08-01,158411
vue,2017-08-08,151325
vue,2017-08-15,153871
vue,2017-08-22,154394
vue,2017-08-29,170897
vue,2017-09-05,144845
vue,2017-09-12,168179
vue,2017-09-19,224629
vue,2017-09-26,190735
vue,2017-10-03,198851
vue,2017-10-10,161610
vue,2017-10-17,224825
vue,2017-10-24,209959
vue,2017-10-31,207897
vue,2017-11-07,215358
vue,2017-11-14,229129
vue,2017-11-21,273615
vue,2017-11-28,253430
vue,2017-12-05,264565
vue,2017-12-12,253257
vue,2017-12-19,289500
vue,2017-12-26,242982
vue,2018-01-02,158849
vue,2018-01-09,240392
vue,2018-01-16,269214
vue,2018-01-23,268737
vue,2018-01-30,298820
vue,2018-02-06,266432
vue,2018-02-13,267356
vue,2018-02-20,244404
vue,2018-02-27,274797
vue,2018-03-06,318478
vue,2018-03-13,346658
vue,2018-03-20,388697
vue,2018-03-27,370574
vue,2018-04-03,318676
vue,2018-04-10,342366
vue,2018-04-17,342206
vue,2018-04-24,352360
vue,2018-05-01,343338
vue,2018-05-08,313909
vue,2018-05-15,340062
vue,2018-05-22,357621
vue,2018-05-29,299123
vue,2018-06-05,347762
vue,2018-06-12,385712
vue,2018-06-19,368198
vue,2018-06-26,387218
vue,2018-07-03,387271
vue,2018-07-10,384088
vue,2018-07-17,404547
vue,2018-07-24,421185
vue,2018-07-31,434185
vue,2018-08-07,504308
vue,2018-08-14,489037
vue,2018-08-21,464938
vue,2018-08-28,489547
vue,2018-09-04,492957
vue,2018-09-11,518524
vue,2018-09-18,532715
vue,2018-09-25,539697
vue,2018-10-02,578942
vue,2018-10-09,539117
vue,2018-10-16,618268
vue,2018-10-23,605638
vue,2018-10-30,670737
vue,2018-11-06,612543
vue,2018-11-13,656429
vue,2018-11-20,651639
vue,2018-11-27,643857
vue,2018-12-04,710854
vue,2018-12-11,778489
vue,2018-12-18,785287
vue,2018-12-25,717578
vue,2019-01-01,416550
vue,2019-01-08,539003
vue,2019-01-15,743846
vue,2019-01-22,788130
vue,2019-01-29,753321
vue,2019-02-05,749485
vue,2019-02-12,811860
vue,2019-02-19,854918
vue,2019-02-26,889161
vue,2019-03-05,916428
vue,2019-03-12,973892
vue,2019-03-19,900449
vue,2019-03-26,1004763
vue,2019-04-02,986711
vue,2019-04-09,969248
vue,2019-04-16,982857
vue,2019-04-23,841157
vue,2019-04-30,961951
vue,2019-05-07,795391
vue,2019-05-14,949170
vue,2019-05-21,982204
vue,2019-05-28,975535
vue,2019-06-04,948924
vue,2019-06-11,929981
vue,2019-06-18,986516
vue,2019-06-25,1002312
vue,2019-07-02,999049
vue,2019-07-09,1004120
vue,2019-07-16,1019806
vue,2019-07-23,1016701
vue,2019-07-30,1000215
vue,2019-08-06,1010836
vue,2019-08-13,1005948
vue,2019-08-20,994634
vue,2019-08-27,1041872
vue,2019-09-03,1101954
vue,2019-09-10,1086121
vue,2019-09-17,1081831
vue,2019-09-24,1067231
vue,2019-10-01,1108375
vue,2019-10-08,1029388
vue,2019-10-15,1100651
vue,2019-10-22,1143713
vue,2019-10-29,1200963
vue,2019-11-05,1346892
vue,2019-11-12,1280225
vue,2019-11-19,1286954
vue,2019-11-26,1450261
vue,2019-12-03,1156830
vue,2019-12-10,1220188
vue,2019-12-17,1285941
vue,2019-12-24,1279343
vue,2019-12-31,763762
vue,2020-01-07,778801
angular,2016-01-12,54295
angular,2016-01-19,64076
angular,2016-01-26,60593
angular,2016-02-02,64999
angular,2016-02-09,71455
angular,2016-02-16,88103
angular,2016-02-23,99500
angular,2016-03-01,86444
angular,2016-03-08,108779
angular,2016-03-15,89557
angular,2016-03-22,96539
angular,2016-03-29,89449
angular,2016-04-05,98130
angular,2016-04-12,92414
angular,2016-04-19,105098
angular,2016-04-26,101876
angular,2016-05-03,103528
angular,2016-05-10,97809
angular,2016-05-17,101668
angular,2016-05-24,102985
angular,2016-05-31,107919
angular,2016-06-07,116353
angular,2016-06-14,108534
angular,2016-06-21,122583
angular,2016-06-28,116150
angular,2016-07-05,107130
angular,2016-07-12,108751
angular,2016-07-19,115991
angular,2016-07-26,132505
angular,2016-08-02,125788
angular,2016-08-09,133015
angular,2016-08-16,115717
angular,2016-08-23,116141
angular,2016-08-30,121970
angular,2016-09-06,111487
angular,2016-09-13,119488
angular,2016-09-20,128846
angular,2016-09-27,133716
angular,2016-10-04,132054
angular,2016-10-11,139729
angular,2016-10-18,139283
angular,2016-10-25,148548
angular,2016-11-01,144451
angular,2016-11-08,142197
angular,2016-11-15,138370
angular,2016-11-22,141743
angular,2016-11-29,135779
angular,2016-12-06,149888
angular,2016-12-13,170142
angular,2016-12-20,164524
angular,2016-12-27,123136
angular,2017-01-03,84243
angular,2017-01-10,139511
angular,2017-01-17,158194
angular,2017-01-24,173754
angular,2017-01-31,164762
angular,2017-02-07,165488
angular,2017-02-14,188305
angular,2017-02-21,177073
angular,2017-02-28,183620
angular,2017-03-07,205726
angular,2017-03-14,203806
angular,2017-03-21,178007
angular,2017-03-28,183225
angular,2017-04-04,191170
angular,2017-04-11,193803
angular,2017-04-18,176918
angular,2017-04-25,189092
angular,2017-05-02,176832
angular,2017-05-09,195291
angular,2017-05-16,195097
angular,2017-05-23,180981
angular,2017-05-30,174103
angular,2017-06-06,188804
angular,2017-06-13,227281
angular,2017-06-20,222433
angular,2017-06-27,229686
angular,2017-07-04,207444
angular,2017-07-11,213787
angular,2017-07-18,240269
angular,2017-07-25,268514
angular,2017-08-01,240949
angular,2017-08-08,227041
angular,2017-08-15,245335
angular,2017-08-22,226779
angular,2017-08-29,256501
angular,2017-09-05,231856
angular,2017-09-12,255833
angular,2017-09-19,257067
angular,2017-09-26,236599
angular,2017-10-03,233136
angular,2017-10-10,230118
angular,2017-10-17,246843
angular,2017-10-24,236735
angular,2017-10-31,269010
angular,2017-11-07,283802
angular,2017-11-14,289864
angular,2017-11-21,271558
angular,2017-11-28,238061
angular,2017-12-05,302601
angular,2017-12-12,292539
angular,2017-12-19,295907
angular,2017-12-26,227427
angular,2018-01-02,127441
angular,2018-01-09,224598
angular,2018-01-16,252069
angular,2018-01-23,280314
angular,2018-01-30,302577
angular,2018-02-06,317475
angular,2018-02-13,332628
angular,2018-02-20,305320
angular,2018-02-27,350916
angular,2018-03-06,364891
angular,2018-03-13,374138
angular,2018-03-20,406810
angular,2018-03-27,375788
angular,2018-04-03,340854
angular,2018-04-10,339700
angular,2018-04-17,348404
angular,2018-04-24,389019
angular,2018-05-01,341308
angular,2018-05-08,304778
angular,2018-05-15,322791
angular,2018-05-22,356582
angular,2018-05-29,267098
angular,2018-06-05,300388
angular,2018-06-12,355706
angular,2018-06-19,331784
angular,2018-06-26,382108
angular,2018-07-03,342210
angular,2018-07-10,316302
angular,2018-07-17,327689
angular,2018-07-24,314910
angular,2018-07-31,310965
angular,2018-08-07,317899
angular,2018-08-14,339144
angular,2018-08-21,313507
angular,2018-08-28,324680
angular,2018-09-04,305612
angular,2018-09-11,340766
angular,2018-09-18,351151
angular,2018-09-25,344678
angular,2018-10-02,360982
angular,2018-10-09,386364
angular,2018-10-16,391470
angular,2018-10-23,390984
angular,2018-10-30,401198
angular,2018-11-06,370927
angular,2018-11-13,383415
angular,2018-11-20,384621
angular,2018-11-27,350045
angular,2018-12-04,433919
angular,2018-12-11,430891
angular,2018-12-18,396820
angular,2018-12-25,338932
angular,2019-01-01,185928
angular,2019-01-08,295924
angular,2019-01-15,409488
angular,2019-01-22,426035
angular,2019-01-29,434603
angular,2019-02-05,458425
angular,2019-02-12,429054
angular,2019-02-19,414729
angular,2019-02-26,427169
angular,2019-03-05,428219
angular,2019-03-12,431212
angular,2019-03-19,409436
angular,2019-03-26,434463
angular,2019-04-02,449080
angular,2019-04-09,438725
angular,2019-04-16,444371
angular,2019-04-23,383626
angular,2019-04-30,429211
angular,2019-05-07,391281
angular,2019-05-14,444817
angular,2019-05-21,437966
angular,2019-05-28,426975
angular,2019-06-04,426626
angular,2019-06-11,432551
angular,2019-06-18,457015
angular,2019-06-25,452482
angular,2019-07-02,459995
angular,2019-07-09,413874
angular,2019-07-16,476928
angular,2019-07-23,466868
angular,2019-07-30,455121
angular,2019-08-06,445246
angular,2019-08-13,459228
angular,2019-08-20,418989
angular,2019-08-27,436656
angular,2019-09-03,430642
angular,2019-09-10,450656
angular,2019-09-17,457902
angular,2019-09-24,439245
angular,2019-10-01,452919
angular,2019-10-08,447502
angular,2019-10-15,445461
angular,2019-10-22,462234
angular,2019-10-29,456425
angular,2019-11-05,440409
angular,2019-11-12,442106
angular,2019-11-19,443303
angular,2019-11-26,481026
angular,2019-12-03,386522
