state,occupation,measure,value
AL,Computer Programmers,Annual mean wage,       87700
AL,Computer Programmers,Annual 10th percentile wage,       47700
AL,Computer Programmers,Annual 25th percentile wage,       62640
AL,Computer Programmers,Annual median wage,       84230
AL,Computer Programmers,Annual 75th percentile wage,      106240
AL,Computer Programmers,Annual 90th percentile wage,      137180
AL,"Software Developers, Applications",Annual mean wage,       92360
AL,"Software Developers, Applications",Annual 10th percentile wage,       52150
AL,"Software Developers, Applications",Annual 25th percentile wage,       67410
AL,"Software Developers, Applications",Annual median wage,       89440
AL,"Software Developers, Applications",Annual 75th percentile wage,      115120
AL,"Software Developers, Applications",Annual 90th percentile wage,      138180
AL,"Software Developers, Systems Software",Annual mean wage,      103380
AL,"Software Developers, Systems Software",Annual 10th percentile wage,       65460
AL,"Software Developers, Systems Software",Annual 25th percentile wage,       77410
AL,"Software Developers, Systems Software",Annual median wage,       97840
AL,"Software Developers, Systems Software",Annual 75th percentile wage,      126180
AL,"Software Developers, Systems Software",Annual 90th percentile wage,      155800
AL,Web Developers,Annual mean wage,       59560
AL,Web Developers,Annual 10th percentile wage,       32750
AL,Web Developers,Annual 25th percentile wage,       43500
AL,Web Developers,Annual median wage,       54840
AL,Web Developers,Annual 75th percentile wage,       72430
AL,Web Developers,Annual 90th percentile wage,       95130
AK,Computer Programmers,Annual mean wage,       92970
AK,Computer Programmers,Annual 10th percentile wage,       53120
AK,Computer Programmers,Annual 25th percentile wage,       67600
AK,Computer Programmers,Annual median wage,       85590
AK,Computer Programmers,Annual 75th percentile wage,      102230
AK,Computer Programmers,Annual 90th percentile wage,      128820
AK,Web Developers,Annual mean wage,       60040
AK,Web Developers,Annual 10th percentile wage,       35390
AK,Web Developers,Annual 25th percentile wage,       42080
AK,Web Developers,Annual median wage,       53860
AK,Web Developers,Annual 75th percentile wage,       75070
AK,Web Developers,Annual 90th percentile wage,       93270
AZ,Computer Programmers,Annual mean wage,       88700
AZ,Computer Programmers,Annual 10th percentile wage,       46260
AZ,Computer Programmers,Annual 25th percentile wage,       66490
AZ,Computer Programmers,Annual median wage,       80500
AZ,Computer Programmers,Annual 75th percentile wage,       99230
AZ,Computer Programmers,Annual 90th percentile wage,      126520
AZ,"Software Developers, Applications",Annual mean wage,       96120
AZ,"Software Developers, Applications",Annual 10th percentile wage,       56350
AZ,"Software Developers, Applications",Annual 25th percentile wage,       73280
AZ,"Software Developers, Applications",Annual median wage,       94740
AZ,"Software Developers, Applications",Annual 75th percentile wage,      118490
AZ,"Software Developers, Applications",Annual 90th percentile wage,      142090
AZ,"Software Developers, Systems Software",Annual mean wage,      103990
AZ,"Software Developers, Systems Software",Annual 10th percentile wage,       65400
AZ,"Software Developers, Systems Software",Annual 25th percentile wage,       80090
AZ,"Software Developers, Systems Software",Annual median wage,      102620
AZ,"Software Developers, Systems Software",Annual 75th percentile wage,      124540
AZ,"Software Developers, Systems Software",Annual 90th percentile wage,      147980
AZ,Web Developers,Annual mean wage,       71180
AZ,Web Developers,Annual 10th percentile wage,       39190
AZ,Web Developers,Annual 25th percentile wage,       51200
AZ,Web Developers,Annual median wage,       62750
AZ,Web Developers,Annual 75th percentile wage,       83060
AZ,Web Developers,Annual 90th percentile wage,      118000
AR,Computer Programmers,Annual mean wage,       69520
AR,Computer Programmers,Annual 10th percentile wage,       41740
AR,Computer Programmers,Annual 25th percentile wage,       52380
AR,Computer Programmers,Annual median wage,       64040
AR,Computer Programmers,Annual 75th percentile wage,       79540
AR,Computer Programmers,Annual 90th percentile wage,      105350
AR,"Software Developers, Applications",Annual mean wage,       87500
AR,"Software Developers, Applications",Annual 10th percentile wage,       51360
AR,"Software Developers, Applications",Annual 25th percentile wage,       65310
AR,"Software Developers, Applications",Annual median wage,       83830
AR,"Software Developers, Applications",Annual 75th percentile wage,      107770
AR,"Software Developers, Applications",Annual 90th percentile wage,      128800
AR,"Software Developers, Systems Software",Annual mean wage,       82580
AR,"Software Developers, Systems Software",Annual 10th percentile wage,       52240
AR,"Software Developers, Systems Software",Annual 25th percentile wage,       65870
AR,"Software Developers, Systems Software",Annual median wage,       82490
AR,"Software Developers, Systems Software",Annual 75th percentile wage,       97910
AR,"Software Developers, Systems Software",Annual 90th percentile wage,      116230
AR,Web Developers,Annual mean wage,       51370
AR,Web Developers,Annual 10th percentile wage,       20010
AR,Web Developers,Annual 25th percentile wage,       38180
AR,Web Developers,Annual median wage,       50310
AR,Web Developers,Annual 75th percentile wage,       63380
AR,Web Developers,Annual 90th percentile wage,       80030
CA,Computer Programmers,Annual mean wage,       96270
CA,Computer Programmers,Annual 10th percentile wage,       55120
CA,Computer Programmers,Annual 25th percentile wage,       73190
CA,Computer Programmers,Annual median wage,       93620
CA,Computer Programmers,Annual 75th percentile wage,      119610
CA,Computer Programmers,Annual 90th percentile wage,      145420
CA,"Software Developers, Applications",Annual mean wage,      126470
CA,"Software Developers, Applications",Annual 10th percentile wage,       70800
CA,"Software Developers, Applications",Annual 25th percentile wage,       94160
CA,"Software Developers, Applications",Annual median wage,      121210
CA,"Software Developers, Applications",Annual 75th percentile wage,      152780
CA,"Software Developers, Applications",Annual 90th percentile wage,      187710
CA,"Software Developers, Systems Software",Annual mean wage,      127230
CA,"Software Developers, Systems Software",Annual 10th percentile wage,       75860
CA,"Software Developers, Systems Software",Annual 25th percentile wage,       95420
CA,"Software Developers, Systems Software",Annual median wage,      124190
CA,"Software Developers, Systems Software",Annual 75th percentile wage,      155640
CA,"Software Developers, Systems Software",Annual 90th percentile wage,      186920
CA,Web Developers,Annual mean wage,       84270
CA,Web Developers,Annual 10th percentile wage,       36580
CA,Web Developers,Annual 25th percentile wage,       52280
CA,Web Developers,Annual median wage,       76880
CA,Web Developers,Annual 75th percentile wage,      111400
CA,Web Developers,Annual 90th percentile wage,      144260
CO,Computer Programmers,Annual mean wage,       96100
CO,Computer Programmers,Annual 10th percentile wage,       54180
CO,Computer Programmers,Annual 25th percentile wage,       69010
CO,Computer Programmers,Annual median wage,       93790
CO,Computer Programmers,Annual 75th percentile wage,      118610
CO,Computer Programmers,Annual 90th percentile wage,      134920
CO,"Software Developers, Applications",Annual mean wage,      104620
CO,"Software Developers, Applications",Annual 10th percentile wage,       62940
CO,"Software Developers, Applications",Annual 25th percentile wage,       81270
CO,"Software Developers, Applications",Annual median wage,      102530
CO,"Software Developers, Applications",Annual 75th percentile wage,      126700
CO,"Software Developers, Applications",Annual 90th percentile wage,      154250
CO,"Software Developers, Systems Software",Annual mean wage,      122170
CO,"Software Developers, Systems Software",Annual 10th percentile wage,       79180
CO,"Software Developers, Systems Software",Annual 25th percentile wage,       94050
CO,"Software Developers, Systems Software",Annual median wage,      115110
CO,"Software Developers, Systems Software",Annual 75th percentile wage,      138860
CO,"Software Developers, Systems Software",Annual 90th percentile wage,      167040
CO,Web Developers,Annual mean wage,       71490
CO,Web Developers,Annual 10th percentile wage,       35870
CO,Web Developers,Annual 25th percentile wage,       48460
CO,Web Developers,Annual median wage,       66990
CO,Web Developers,Annual 75th percentile wage,       92030
CO,Web Developers,Annual 90th percentile wage,      111160
CT,Computer Programmers,Annual mean wage,       87610
CT,Computer Programmers,Annual 10th percentile wage,       53250
CT,Computer Programmers,Annual 25th percentile wage,       66140
CT,Computer Programmers,Annual median wage,       84720
CT,Computer Programmers,Annual 75th percentile wage,      104910
CT,Computer Programmers,Annual 90th percentile wage,      125480
CT,"Software Developers, Applications",Annual mean wage,      103390
CT,"Software Developers, Applications",Annual 10th percentile wage,       64730
CT,"Software Developers, Applications",Annual 25th percentile wage,       78080
CT,"Software Developers, Applications",Annual median wage,       99790
CT,"Software Developers, Applications",Annual 75th percentile wage,      125780
CT,"Software Developers, Applications",Annual 90th percentile wage,      153480
CT,"Software Developers, Systems Software",Annual mean wage,      104510
CT,"Software Developers, Systems Software",Annual 10th percentile wage,       65330
CT,"Software Developers, Systems Software",Annual 25th percentile wage,       82580
CT,"Software Developers, Systems Software",Annual median wage,      102690
CT,"Software Developers, Systems Software",Annual 75th percentile wage,      126040
CT,"Software Developers, Systems Software",Annual 90th percentile wage,      151210
CT,Web Developers,Annual mean wage,       76310
CT,Web Developers,Annual 10th percentile wage,       42600
CT,Web Developers,Annual 25th percentile wage,       53940
CT,Web Developers,Annual median wage,       72050
CT,Web Developers,Annual 75th percentile wage,       93880
CT,Web Developers,Annual 90th percentile wage,      120330
DE,Computer Programmers,Annual mean wage,       77200
DE,Computer Programmers,Annual 10th percentile wage,       52360
DE,Computer Programmers,Annual 25th percentile wage,       58470
DE,Computer Programmers,Annual median wage,       73810
DE,Computer Programmers,Annual 75th percentile wage,       94100
DE,Computer Programmers,Annual 90th percentile wage,      114760
DE,"Software Developers, Applications",Annual mean wage,      102250
DE,"Software Developers, Applications",Annual 10th percentile wage,       65090
DE,"Software Developers, Applications",Annual 25th percentile wage,       78550
DE,"Software Developers, Applications",Annual median wage,       98870
DE,"Software Developers, Applications",Annual 75th percentile wage,      123180
DE,"Software Developers, Applications",Annual 90th percentile wage,      149450
DE,"Software Developers, Systems Software",Annual mean wage,      122050
DE,"Software Developers, Systems Software",Annual 10th percentile wage,       83480
DE,"Software Developers, Systems Software",Annual 25th percentile wage,      104120
DE,"Software Developers, Systems Software",Annual median wage,      119640
DE,"Software Developers, Systems Software",Annual 75th percentile wage,      138730
DE,"Software Developers, Systems Software",Annual 90th percentile wage,      161190
DE,Web Developers,Annual mean wage,       69280
DE,Web Developers,Annual 10th percentile wage,       41610
DE,Web Developers,Annual 25th percentile wage,       47640
DE,Web Developers,Annual median wage,       67670
DE,Web Developers,Annual 75th percentile wage,       87180
DE,Web Developers,Annual 90th percentile wage,      104620
DC,Computer Programmers,Annual mean wage,      101740
DC,Computer Programmers,Annual 10th percentile wage,       64270
DC,Computer Programmers,Annual 25th percentile wage,       79630
DC,Computer Programmers,Annual median wage,      103010
DC,Computer Programmers,Annual 75th percentile wage,      124000
DC,Computer Programmers,Annual 90th percentile wage,      144720
DC,"Software Developers, Applications",Annual mean wage,      115900
DC,"Software Developers, Applications",Annual 10th percentile wage,       79500
DC,"Software Developers, Applications",Annual 25th percentile wage,       97890
DC,"Software Developers, Applications",Annual median wage,      116680
DC,"Software Developers, Applications",Annual 75th percentile wage,      134630
DC,"Software Developers, Applications",Annual 90th percentile wage,      157880
DC,"Software Developers, Systems Software",Annual mean wage,      111570
DC,"Software Developers, Systems Software",Annual 10th percentile wage,       63360
DC,"Software Developers, Systems Software",Annual 25th percentile wage,       82110
DC,"Software Developers, Systems Software",Annual median wage,      112590
DC,"Software Developers, Systems Software",Annual 75th percentile wage,      140850
DC,"Software Developers, Systems Software",Annual 90th percentile wage,      162150
DC,Web Developers,Annual mean wage,       86660
DC,Web Developers,Annual 10th percentile wage,       53750
DC,Web Developers,Annual 25th percentile wage,       66150
DC,Web Developers,Annual median wage,       84570
DC,Web Developers,Annual 75th percentile wage,      105300
DC,Web Developers,Annual 90th percentile wage,      127060
FL,Computer Programmers,Annual mean wage,       79770
FL,Computer Programmers,Annual 10th percentile wage,       42280
FL,Computer Programmers,Annual 25th percentile wage,       54950
FL,Computer Programmers,Annual median wage,       73800
FL,Computer Programmers,Annual 75th percentile wage,       96980
FL,Computer Programmers,Annual 90th percentile wage,      121310
FL,"Software Developers, Applications",Annual mean wage,       90770
FL,"Software Developers, Applications",Annual 10th percentile wage,       52590
FL,"Software Developers, Applications",Annual 25th percentile wage,       66960
FL,"Software Developers, Applications",Annual median wage,       88030
FL,"Software Developers, Applications",Annual 75th percentile wage,      111430
FL,"Software Developers, Applications",Annual 90th percentile wage,      130800
FL,"Software Developers, Systems Software",Annual mean wage,      101090
FL,"Software Developers, Systems Software",Annual 10th percentile wage,       57190
FL,"Software Developers, Systems Software",Annual 25th percentile wage,       74490
FL,"Software Developers, Systems Software",Annual median wage,       97300
FL,"Software Developers, Systems Software",Annual 75th percentile wage,      123780
FL,"Software Developers, Systems Software",Annual 90th percentile wage,      153020
FL,Web Developers,Annual mean wage,       62290
FL,Web Developers,Annual 10th percentile wage,       33910
FL,Web Developers,Annual 25th percentile wage,       43410
FL,Web Developers,Annual median wage,       56910
FL,Web Developers,Annual 75th percentile wage,       75610
FL,Web Developers,Annual 90th percentile wage,       98560
GA,Computer Programmers,Annual mean wage,       85380
GA,Computer Programmers,Annual 10th percentile wage,       49520
GA,Computer Programmers,Annual 25th percentile wage,       61470
GA,Computer Programmers,Annual median wage,       77740
GA,Computer Programmers,Annual 75th percentile wage,      103610
GA,Computer Programmers,Annual 90th percentile wage,      127910
GA,"Software Developers, Applications",Annual mean wage,      103630
GA,"Software Developers, Applications",Annual 10th percentile wage,       55740
GA,"Software Developers, Applications",Annual 25th percentile wage,       74140
GA,"Software Developers, Applications",Annual median wage,       97780
GA,"Software Developers, Applications",Annual 75th percentile wage,      123610
GA,"Software Developers, Applications",Annual 90th percentile wage,      152550
GA,"Software Developers, Systems Software",Annual mean wage,      101530
GA,"Software Developers, Systems Software",Annual 10th percentile wage,       66180
GA,"Software Developers, Systems Software",Annual 25th percentile wage,       82190
GA,"Software Developers, Systems Software",Annual median wage,      100290
GA,"Software Developers, Systems Software",Annual 75th percentile wage,      122180
GA,"Software Developers, Systems Software",Annual 90th percentile wage,      144510
GA,Web Developers,Annual mean wage,       77950
GA,Web Developers,Annual 10th percentile wage,       41670
GA,Web Developers,Annual 25th percentile wage,       55240
GA,Web Developers,Annual median wage,       75150
GA,Web Developers,Annual 75th percentile wage,       97840
GA,Web Developers,Annual 90th percentile wage,      120980
HI,Computer Programmers,Annual mean wage,       77190
HI,Computer Programmers,Annual 10th percentile wage,       52200
HI,Computer Programmers,Annual 25th percentile wage,       57510
HI,Computer Programmers,Annual median wage,       68860
HI,Computer Programmers,Annual 75th percentile wage,       91280
HI,Computer Programmers,Annual 90th percentile wage,      120320
HI,"Software Developers, Applications",Annual mean wage,       82050
HI,"Software Developers, Applications",Annual 10th percentile wage,       53780
HI,"Software Developers, Applications",Annual 25th percentile wage,       63230
HI,"Software Developers, Applications",Annual median wage,       77660
HI,"Software Developers, Applications",Annual 75th percentile wage,       99190
HI,"Software Developers, Applications",Annual 90th percentile wage,      122060
HI,"Software Developers, Systems Software",Annual mean wage,       94280
HI,"Software Developers, Systems Software",Annual 10th percentile wage,       66840
HI,"Software Developers, Systems Software",Annual 25th percentile wage,       79370
HI,"Software Developers, Systems Software",Annual median wage,       92750
HI,"Software Developers, Systems Software",Annual 75th percentile wage,      104990
HI,"Software Developers, Systems Software",Annual 90th percentile wage,      126980
HI,Web Developers,Annual mean wage,       60810
HI,Web Developers,Annual 10th percentile wage,       32920
HI,Web Developers,Annual 25th percentile wage,       46340
HI,Web Developers,Annual median wage,       57980
HI,Web Developers,Annual 75th percentile wage,       73580
HI,Web Developers,Annual 90th percentile wage,       93250
ID,Computer Programmers,Annual mean wage,       75310
ID,Computer Programmers,Annual 10th percentile wage,       44050
ID,Computer Programmers,Annual 25th percentile wage,       55430
ID,Computer Programmers,Annual median wage,       70410
ID,Computer Programmers,Annual 75th percentile wage,       86900
ID,Computer Programmers,Annual 90th percentile wage,      126580
ID,"Software Developers, Applications",Annual mean wage,       87580
ID,"Software Developers, Applications",Annual 10th percentile wage,       53440
ID,"Software Developers, Applications",Annual 25th percentile wage,       66930
ID,"Software Developers, Applications",Annual median wage,       85680
ID,"Software Developers, Applications",Annual 75th percentile wage,      106690
ID,"Software Developers, Applications",Annual 90th percentile wage,      126850
ID,"Software Developers, Systems Software",Annual mean wage,       89610
ID,"Software Developers, Systems Software",Annual 10th percentile wage,       35610
ID,"Software Developers, Systems Software",Annual 25th percentile wage,       43400
ID,"Software Developers, Systems Software",Annual median wage,       91370
ID,"Software Developers, Systems Software",Annual 75th percentile wage,      120180
ID,"Software Developers, Systems Software",Annual 90th percentile wage,      148700
ID,Web Developers,Annual mean wage,       50660
ID,Web Developers,Annual 10th percentile wage,       23880
ID,Web Developers,Annual 25th percentile wage,       33280
ID,Web Developers,Annual median wage,       46650
ID,Web Developers,Annual 75th percentile wage,       62340
ID,Web Developers,Annual 90th percentile wage,       85640
IL,Computer Programmers,Annual mean wage,       89390
IL,Computer Programmers,Annual 10th percentile wage,       35260
IL,Computer Programmers,Annual 25th percentile wage,       56830
IL,Computer Programmers,Annual median wage,       82020
IL,Computer Programmers,Annual 75th percentile wage,      112560
IL,Computer Programmers,Annual 90th percentile wage,      134460
IL,"Software Developers, Applications",Annual mean wage,       96110
IL,"Software Developers, Applications",Annual 10th percentile wage,       60020
IL,"Software Developers, Applications",Annual 25th percentile wage,       74420
IL,"Software Developers, Applications",Annual median wage,       93510
IL,"Software Developers, Applications",Annual 75th percentile wage,      116100
IL,"Software Developers, Applications",Annual 90th percentile wage,      138230
IL,"Software Developers, Systems Software",Annual mean wage,      106700
IL,"Software Developers, Systems Software",Annual 10th percentile wage,       65710
IL,"Software Developers, Systems Software",Annual 25th percentile wage,       82320
IL,"Software Developers, Systems Software",Annual median wage,      104320
IL,"Software Developers, Systems Software",Annual 75th percentile wage,      125040
IL,"Software Developers, Systems Software",Annual 90th percentile wage,      151400
IL,Web Developers,Annual mean wage,       78160
IL,Web Developers,Annual 10th percentile wage,       40030
IL,Web Developers,Annual 25th percentile wage,       54030
IL,Web Developers,Annual median wage,       72540
IL,Web Developers,Annual 75th percentile wage,       97800
IL,Web Developers,Annual 90th percentile wage,      124040
IN,Computer Programmers,Annual mean wage,       75420
IN,Computer Programmers,Annual 10th percentile wage,       44410
IN,Computer Programmers,Annual 25th percentile wage,       56070
IN,Computer Programmers,Annual median wage,       69810
IN,Computer Programmers,Annual 75th percentile wage,       93090
IN,Computer Programmers,Annual 90th percentile wage,      119240
IN,"Software Developers, Applications",Annual mean wage,       85640
IN,"Software Developers, Applications",Annual 10th percentile wage,       53730
IN,"Software Developers, Applications",Annual 25th percentile wage,       65890
IN,"Software Developers, Applications",Annual median wage,       79810
IN,"Software Developers, Applications",Annual 75th percentile wage,      102200
IN,"Software Developers, Applications",Annual 90th percentile wage,      124690
IN,"Software Developers, Systems Software",Annual mean wage,       86540
IN,"Software Developers, Systems Software",Annual 10th percentile wage,       53010
IN,"Software Developers, Systems Software",Annual 25th percentile wage,       64740
IN,"Software Developers, Systems Software",Annual median wage,       83140
IN,"Software Developers, Systems Software",Annual 75th percentile wage,      101970
IN,"Software Developers, Systems Software",Annual 90th percentile wage,      126260
IN,Web Developers,Annual mean wage,       57630
IN,Web Developers,Annual 10th percentile wage,       31110
IN,Web Developers,Annual 25th percentile wage,       39700
IN,Web Developers,Annual median wage,       52060
IN,Web Developers,Annual 75th percentile wage,       70730
IN,Web Developers,Annual 90th percentile wage,       93780
IA,Computer Programmers,Annual mean wage,       75060
IA,Computer Programmers,Annual 10th percentile wage,       43740
IA,Computer Programmers,Annual 25th percentile wage,       57950
IA,Computer Programmers,Annual median wage,       71690
IA,Computer Programmers,Annual 75th percentile wage,       83460
IA,Computer Programmers,Annual 90th percentile wage,      107920
IA,"Software Developers, Applications",Annual mean wage,       86070
IA,"Software Developers, Applications",Annual 10th percentile wage,       54840
IA,"Software Developers, Applications",Annual 25th percentile wage,       69940
IA,"Software Developers, Applications",Annual median wage,       86830
IA,"Software Developers, Applications",Annual 75th percentile wage,      102470
IA,"Software Developers, Applications",Annual 90th percentile wage,      121940
IA,"Software Developers, Systems Software",Annual mean wage,       88310
IA,"Software Developers, Systems Software",Annual 10th percentile wage,       53970
IA,"Software Developers, Systems Software",Annual 25th percentile wage,       70210
IA,"Software Developers, Systems Software",Annual median wage,       87820
IA,"Software Developers, Systems Software",Annual 75th percentile wage,      102770
IA,"Software Developers, Systems Software",Annual 90th percentile wage,      125520
IA,Web Developers,Annual mean wage,       58120
IA,Web Developers,Annual 10th percentile wage,       29980
IA,Web Developers,Annual 25th percentile wage,       35750
IA,Web Developers,Annual median wage,       50620
IA,Web Developers,Annual 75th percentile wage,       76290
IA,Web Developers,Annual 90th percentile wage,      102470
KS,Computer Programmers,Annual mean wage,       74190
KS,Computer Programmers,Annual 10th percentile wage,       42910
KS,Computer Programmers,Annual 25th percentile wage,       54990
KS,Computer Programmers,Annual median wage,       71070
KS,Computer Programmers,Annual 75th percentile wage,       91300
KS,Computer Programmers,Annual 90th percentile wage,      108730
KS,"Software Developers, Applications",Annual mean wage,       86880
KS,"Software Developers, Applications",Annual 10th percentile wage,       48360
KS,"Software Developers, Applications",Annual 25th percentile wage,       62780
KS,"Software Developers, Applications",Annual median wage,       86130
KS,"Software Developers, Applications",Annual 75th percentile wage,      112370
KS,"Software Developers, Applications",Annual 90th percentile wage,      128960
KS,"Software Developers, Systems Software",Annual mean wage,       98460
KS,"Software Developers, Systems Software",Annual 10th percentile wage,       62700
KS,"Software Developers, Systems Software",Annual 25th percentile wage,       76260
KS,"Software Developers, Systems Software",Annual median wage,       95830
KS,"Software Developers, Systems Software",Annual 75th percentile wage,      116940
KS,"Software Developers, Systems Software",Annual 90th percentile wage,      130570
KS,Web Developers,Annual mean wage,       60820
KS,Web Developers,Annual 10th percentile wage,       37520
KS,Web Developers,Annual 25th percentile wage,       44400
KS,Web Developers,Annual median wage,       53490
KS,Web Developers,Annual 75th percentile wage,       75060
KS,Web Developers,Annual 90th percentile wage,       97480
KY,Computer Programmers,Annual mean wage,       69700
KY,Computer Programmers,Annual 10th percentile wage,       35280
KY,Computer Programmers,Annual 25th percentile wage,       52250
KY,Computer Programmers,Annual median wage,       69370
KY,Computer Programmers,Annual 75th percentile wage,       87400
KY,Computer Programmers,Annual 90th percentile wage,      100080
KY,"Software Developers, Applications",Annual mean wage,       78260
KY,"Software Developers, Applications",Annual 10th percentile wage,       45020
KY,"Software Developers, Applications",Annual 25th percentile wage,       59810
KY,"Software Developers, Applications",Annual median wage,       76290
KY,"Software Developers, Applications",Annual 75th percentile wage,       96660
KY,"Software Developers, Applications",Annual 90th percentile wage,      117300
KY,"Software Developers, Systems Software",Annual mean wage,       86380
